#,Name of the Plant,Family,Common Name,Herbarium Image and Uses
631,"
Drynaria quercifolia (L.) J.Sm.
",POLYPODIACEAE,Garur (Beng.),  
632,"
Dryobalanops aromatica Gaertn.f.
",DIPTEROCARPACEAE,"Bhimsaini-kapur, Barus kapur",  
633,"
Dryopteris filix-mas (L.) Schott.
",DRYOPTERIDACEAE,Sarakhs,  
634,"
Dryopteris marginata (Wall. ex Christ.) Christ.
",DRYOPTERIDACEAE,Lai-chankhrang (Manipuri),  
635,"
Drypetyes roxburghii (Wall.) Hurus.
",EUPHORBIACEAE,"Jiaputa, Juti",  
636,"
Durio zibethinus L.
",BOMBACACEAE,Civet fruit (Eng.),  
637,"
Dysoxylum alliarum (Buch.-Ham.) N.P.Balakr.
",MELIACEAE,Gendheli-poma (Assam),  
638,"
Dysoxylum malabaricum Bedd.
",MELIACEAE,Vellaiyagil (Tam.),  
639,"
Ecballium elaterium L.
",CUCURBITACEAE,Squirting Cucumber (Eng.),  
640,"
Ecbolium viride (Forsk.) Alston
",ACANTHACEAE,Udajati,  
641,"
Echinochloa crusgalli (L.) Beauv
",POACEAE,"Samak, sanwak",  
642,"
Echinochloa frumentacea (Roxb.) Link.
",POACEAE,"Sanwa, Shamula",  
643,"
Echinochloa stagnina (Retz.) P.Beauv.
",POACEAE,Dul (Beng.),  
644,"
Echinops echinatus Roxb.
",ASTERACEAE,"Gokru, Utakanta",  
645,"
Eclipta alba (L.) Hassk.
",ASTERACEAE,"Bhangra, Babri",  
646,"
Edgeworthia gardneri (Wall.) Meissn.
",THYMELAEACEAE,Dhenok (lepcha),  
647,"
Ehretia aspera Roxb.
",BORAGINACEAE,Tella juvi (Tel.),  
648,"
Elaeagnus angustifolia L.
",ELAEAGNACEAE,Shiulik,  
649,"
Elaeagnus latifolia L.
",ELAEAGNACEAE,Guara (Beng.),  
650,"
Elaeagnus parvifolia Wall. ex Royle
",ELAEAGNACEAE,"Giwain, Kankal",  
651,"
Elaeis guineensis Jacq.
",ARECACEAE,African oil palm (Eng.),  
652,"
Elaeocarpus floribundus Blume
",ELAEOCARPACEAE,Jalpai (Beng.),  
653,"
Elaeocarpus serratus L.
",ELAEOCARPACEAE,Jalpai (Beng.),  
654,"
Elaeocarpus tuberculatus Roxb.
",ELAEOCARPACEAE,Rutthracham (Tam.),  
655,"
Elephantopus scaber L.
",ASTERACEAE,"Gobhi, Samudulan",  
656,"
Eleusine coracana L.
",POACEAE,"Mandua, Mandal",  
657,"
Eleusine indica (L.) Gaertn.
",POACEAE,Mandla,  
658,"
Elsholtzia ciliata (Thunb.) Hyl.
",LAMIACEAE,Crested Late-Summer Mint (Eng.),  
659,"
Embelia ribes Burm.f.
",MYRSINACEAE,"Vayavidanga, Bhabhiranga",  
660,"
Embelia tsjeriam-cottam A.DC.
",MYRSINACEAE,"Babrang, Baibrang",  
661,"
Emblica officinalis Gaertn.
",EUPHORBIACEAE,"Amla, Amlika",  
662,"
Emilia sonchifolia (L.) DC.
",ASTERACEAE,Hirankhuri,  
663,"
Enhydra fluctans Lour.
",ASTERACEAE,Harkuch,  
664,"
Enicostema hyssopifolium (Willd.) I.Verd.
",GENTIANACEAE,Chota chirayata,  
665,"
Entada pursaetha DC.
",MIMOSACEAE,African dream herb (Eng.),  
666,"
Ephedra girardiana Wall. ex Stapf
",EPHEDRACEAE,Asmania (Punjab),  
667,"
Ephedra intermedia Schrenk. & Mey
",EPHEDRACEAE,Central-Asian Jointfir (Eng.),  
668,"
Ephemerantha macraei (Lindl.) Hunt & Summerh
",ORCHIDACEAE,Jivanti,  
669,"
Epilobium angustifolium L.
",ONAGRACEAE,Fireweed (Eng.),  
670,"
Epilobium hirsutum L.
",ONAGRACEAE,Hairy Willow Weed (Eng.),  
671,"
Equisetum debile Roxb. ex Vaucher
",EQUISETACEAE,"Trotak, Nari (Punjab)",  
672,"
Equisetum arvense L.
",EQUISETACEAE,Field Horsetail (Eng.),  
673,"
Eranthemum roseum R.Br.
",ACANTHACEAE,Gulsham,  
674,"
Eria pannea Lindl.
",ORCHIDACEAE,Zhu Ye Ni Mao Lan (China),  
675,"
Erigeron asteroides Roxb.
",ASTERACEAE,"Sonsali, Maredi (Bombay)",  
676,"
Erigeron canadensis L.
",ASTERACEAE,Jarayupriya (Sans.),  
677,"
Eriobotrya japonica (Thunb.) Lindl.
",ROSACEAE,Logat,  
678,"
Eriolaena quinquelocularis Wight
",STERCULIACEAE,Naiunnam (Tam.),  
679,"
Erodium cicutarium (L.) L'Herit ex Aiton
",GERANIACEAE,Red-Stem Filaree (Eng.),  
680,"
Erodium moschatum L.'Herit
",GERANIACEAE,Musk-Clover (Eng.),  
681,"
Eruca sativa L.
",BRASSICACEAE,"Taramira, Seoha",  
682,"
Ervatamia heyneana (Wall.) T. Cooke
",APOCYNACEAE,Kundalapala (Mal.),  
683,"
Erycibe paniculata Roxb.
",CONVOLVULACEAE,Puttapalatige (Tel.),  
684,"
Eryngium foetidum L.
",APIACEAE,"Ban-Dhania, Jongali-memedo (Assam)",  
685,"
Erysimum rependum L.
",BRASSICACEAE,Hamadan (Kashmir),  
686,"
Erythrina stricta Roxb.
",FABACEAE,Mura (Sans.),  
687,"
Erythrina suberosa Roxb.
",FABACEAE,"Dauldhak, Madar",  
688,"
Erythrina variegata L.
",FABACEAE,"Dadap, Mandara",  
689,"
Erythroxylon coca Lam.
",ERYTHROXYLACEAE,Coca (Eng.),  
690,"
Erythroxylon monogynum Roxb.
",ERYTHROXYLACEAE,Devadaru (Kan.),  
691,"
Eucalyptus citridora Hook.
",MYRTACEAE,Lemon-scented Eucalypt (Eng.),  
692,"
Eucalyptus globulus Labill.
",MYRTACEAE,"Yukeliptas, Eucalyptus (Beng.)",  
693,"
Eulophia epidendraea C.E.C.Fisch.
",ORCHIDACEAE,Katou-Kaida-Maravara (Malayalam),  
694,"
Eulophia herbacea Lindl.
",ORCHIDACEAE,Kukudkand (Mar.),  
695,"
Eulophia nuda Lindl.
",ORCHIDACEAE,"Amarkand, Goruma",  
696,"
Euonymus tingens Wall. ex Roxb.
",CELASTRACEAE,Kungku,  
697,"
Euphorbia microphylla B.Heyne ex Roth
",EUPHORBIACEAE,Chota-keruee (Beng.),  
698,"
Euphorbia neriifolia L.
",EUPHORBIACEAE,"Sehund, Thohar, Pattonkisend",  
699,"
Euphorbia nivulea Buch.-Ham.
",EUPHORBIACEAE,Katathohar,  
700,"
Euphorbia pilosa L.
",EUPHORBIACEAE,Chounpalu (Chinese),  
701,"
Euphorbia rosea Retz.
",EUPHORBIACEAE,Chinnamman paccharisi (Tam.),  
702,"
Euphorbia royleana Boiss.
",EUPHORBIACEAE,"Thor, Shakarpitan",  
703,"
Euphorbia thymifolia L.
",EUPHORBIACEAE,Choti-dudhi,  
704,"
Euphorbia tirucalli L.
",EUPHORBIACEAE,Konpal sehund,  
705,"
Euphorbia antiquorum L.
",EUPHORBIACEAE,Tredhara sehund,  
706,"
Euphorbia dracunculoides Lam.
",EUPHORBIACEAE,Chagulputputi,  
707,"
Euphorbia fusiformis Buch.-Ham. ex D. Don
",EUPHORBIACEAE,"Banmuli, Khargoni (Local names)",  
708,"
Euphorbia granulata Forsk.
",EUPHORBIACEAE,Kanthaarak (Santali),  
709,"
Euphorbia helioscopia L.
",EUPHORBIACEAE,"Hirruseeah, Mahabi",  
710,"
Euphorbia hirta L.
",EUPHORBIACEAE,Dudhia,  
711,"
Euphorbia hypericifolia L.
",EUPHORBIACEAE,Hakshardana,  
712,"
Euphorbia nivulea Buch.-Ham.
",EUPHORBIACEAE,Katathohar,  
713,"
Euphorbia thomsoniana Boiss.
",EUPHORBIACEAE,Hirtiz (Kashmir),  
714,"
Euphrasia officinalis L.
",SCROPHULARIACEAE,Eyebright (Eng.),  
715,"
Euploca strigosa (Willd.) Diane & Hilger
",BORAGINACEAE,"Chitiphal, Safed bhangra",  
716,"
Euryale ferox Salisb.
",NYMPHAEACEAE,Makhana,  
717,"
Eurycoma longifolia Jack
",SIMAROUBACEAE,Tongkat ali (Malay),  
718,"
Evodia lunu-ankenda (Gaertn.) Merr.
",RUTACEAE,Kanalei (Mal.),  
719,"
Evolvulus alsinoides (L.) L.
",CONVOLVULACEAE,"Shyamakranta, Sankhahuli",  
720,"
Exacum bicolor Roxb.
",GENTIANACEAE,Baracharayata,  
721,"
Exacum pedunculatum L.
",GENTIANACEAE,Kana poondu (Tam.),  
722,"
Exacum tetragonum Roxb.
",GENTIANACEAE,Bara-charayata,  
723,"
Excoecaria acerifolia Didr.
",EUPHORBIACEAE,Basingh,  
724,"
Excoecaria agallocha L.
",EUPHORBIACEAE,Gengwa (Beng.),  
725,"
Fagonia cretica L.
",ZYGOPHYLLACEAE,Ustarkhar,  
726,"
Fagopyrum dibotrys (D. Don) Hara
",POLYGONACEAE,"Ban ogal, Kanjolya",  
727,"
Fagopyrum esculentum Moench.
",POLYGONACEAE,"Kotu, Phaphra",  
728,"
Fagopyrum tataricum (L.) Gaertn.
",POLYGONACEAE,Kaspat,  
729,"
Fagraea racemosa Jack
",LOGANIACEAE,Thithpaloo (Burma),  
730,"
Farsetia hamiltonii Royle
",BRASSICACEAE,Faridbuti (Punjab),  
731,"
Farsetia jacquemontii Hook.f. & Thomson
",BRASSICACEAE,Faridbuti (Punjab),  
732,"
Ferula asa-foetida L.
",APIACEAE,Hing,  
733,"
Ferula galbaniflua Boiss. ex Buhse
",APIACEAE,Galbanum,  
734,"
Ferula jaeschkeana Vatke
",APIACEAE,"Hingupatri, Hingu",  
735,"
Ferula narthex Boiss.
",APIACEAE,"Hing, Inguva (Tel.)",  
736,"
Ficus amplissima Sm.
",MORACEAE,Jari,  
737,"
Ficus arnottiana (Miq.) Miq.
",MORACEAE,Paraspipal,  
738,"
Ficus benghalensis L.
",MORACEAE,"Bar, Bargad",  
739,"
Ficus benjamina L.
",MORACEAE,Pukar (Beng.),  
740,"
Ficus carica L.
",MORACEAE,Anjir,  
741,"
Ficus dalhousiae Miq.
",MORACEAE,Somavalkhom (Sans.),  
742,"
Ficus exasperata Vahl
",MORACEAE,Kalmnor,  
743,"
Ficus fistulosa Reinw.
",MORACEAE,Kalapong (Khasi Hills),  
744,"
Ficus heterophylla L.f.
",MORACEAE,Trayamana (Sans.),  
745,"
Ficus hispida L.f.
",MORACEAE,"Daduri, Dagurin",  
746,"
Ficus microcarpa L.f.
",MORACEAE,Kamrup,  
747,"
Ficus palmata Forsk.
",MORACEAE,"Anjiri, Bedu",  
748,"
Ficus racemosa L.
",MORACEAE,"Gular, Umar",  
749,"
Ficus religiosa L.
",MORACEAE,"Pipal, Pipli",  
750,"
Ficus ribes Reinw. ex Blume
",MORACEAE,Chhota Jangli Anjur,  
751,"
Ficus rumphii Blume
",MORACEAE,"Gagjaira, Ganja",  
752,"
Ficus semicordata Buch.-Ham. ex Sm.
",MORACEAE,"Jharphali, Khain",  
753,"
Ficus talbotii King
",MORACEAE,Plaksha (Sans.),  
754,"
Ficus tinctoria G.Forst.
",MORACEAE,Udumber (Sans.),  
755,"
Ficus virens Aiton
",MORACEAE,"Pakad, Pakur (Beng.)",  
756,"
Fimbristylis falcata (Vahl) Kunth
",CYPERACEAE,West Indian Fimbry (Eng.),  
757,"
Flacourtia indica (Burm.f.) Merr.
",FLACOURTIACEAE,"Gargugal, Kakai (Local names)",  
758,"
Flacourtia jangomas (Lour.) Raeusch.
",FLACOURTIACEAE,Paniala,  
759,"
Flagellaria indica L.
",FLAGELLARIACEAE,Bomugra (Oriya),  
760,"
Flemingia chappar Buch.-Ham. ex Benth.
",FABACEAE,Salpan,  
761,"
Flemingia macrophylla (Willd.) Prain ex Merill.
",FABACEAE,"Bara-salpan, Bhalia",  
762,"
Flemingia nana Roxb.
",FABACEAE,"Bara-salpan, Bhalia",  
763,"
Flemingia strobilifera (L.) W.T.Aiton
",FABACEAE,Kussunt,  
764,"
Flemingia tuberosa Dalzell
",FABACEAE,Birmova (Mar.),  
765,"
Foeniculum vulgare Mill.
",APIACEAE,"Saunf, Sonp",  
766,"
Frankenia pulverulenta L.
",FRANKENIACEAE,Shabnami (Urdu),  
767,"
Fraxinus floribunda Wall. ex Roxb.
",OLEACEAE,Dieng-lavmaheg (Khasi hills),  
768,"
Fraxinus hookeri Wenz.
",OLEACEAE,Kum (Kashmir),  
769,"
Fraxinus ornus L.
",OLEACEAE,Shirkhist,  
770,"
Fritillaria cirrhosa D.Don
",LILIACEAE,Shothkar (Local name),  
771,"
Fritillaria imperialis L.
",LILIACEAE,Crown Imperial (Eng.),  
772,"
Fucus vesiculosus L.
",FUCACEAE,Bladder wrack (Eng.),  
773,"
Fumaria indica (Hausskn.) Pugsley
",FUMARIACEAE,"Pitpara, Shahterah",  
774,"
Fumaria parviflora Lam.
",FUMARIACEAE,"Pitpara, Shahterah",  
775,"
Galeopsis tetrahit L.
",LAMIACEAE,Common Hempnettle (Eng.),  
776,"
Galium aparine L.
",RUBIACEAE,"Cleavers, Goose grass (Eng.)",  
777,"
Galium elegans Wall.
",RUBIACEAE,Lahare kuro (Nep.),  
778,"
Galium verum L.
",RUBIACEAE,Cheese Rennet (Eng.),  
779,"
Garcinia cambogia (Gaertn.) Desr.
",CLUSIACEAE,Dharambe (Mar.),  
780,"
Garcinia cowa Roxb.
",CLUSIACEAE,Cowa,  
781,"
Garcinia indica (Dupetit- Thouars) Chois.
",CLUSIACEAE,Kokam,  
782,"
Garcinia mangostana L.
",CLUSIACEAE,"Mangustan, Mangusta",  
783,"
Garcinia morella (Gaertn.) Desr.
",CLUSIACEAE,Tamal,  
784,"
Garcinia pedunculata Roxb.
",CLUSIACEAE,Tikul (Beng.),  
785,"
Garcinia tinctoria (DC.) W.Wight
",CLUSIACEAE,"Dampel, Tamal",  
786,"
Gardenia campanulata Roxb.
",RUBIACEAE,Bitmara (Assam),  
787,"
Gardenia gummifera L.f.
",RUBIACEAE,Dikamali,  
788,"
Gardenia jasminoides J.Ellis
",RUBIACEAE,Gandharaj,  
789,"
Gardenia resinifera Roth
",RUBIACEAE,Dikamali,  
790,"
Gardenia turgida Roxb.
",RUBIACEAE,"Thanella, Ghurgia",  
791,"
Garuga pinnata Roxb.
",BURSERACEAE,"Kharpat, Ghogar",  
792,"
Gaultheria fragrantissima Wall.
",ERICACEAE,Kalomba (Lepcha),  
793,"
Gelonium multiflorum A.Juss.
",EUPHORBIACEAE,Ban naringa,  
794,"
Geranium lucidum L.
",GERANIACEAE,Shining cranesbill (Eng.),  
795,"
Geranium mascatense Boiss.
",GERANIACEAE,Ragatageri (Nepali),  
796,"
Geranium molle L.
",GERANIACEAE,Awnless Geranium (Eng.),  
797,"
Geranium nepalense L.
",GERANIACEAE,Bhand,  
798,"
Geranium nepalense Sweet
",GERANIACEAE,Bhanda,  
799,"
Geranium pusillum Burm.f.
",GERANIACEAE,Small Geranium (Eng.),  
800,"
Geranium robertianum L.
",GERANIACEAE,Herb-Robert Geranium (Eng.),  
801,"
Geranium rotundifolium L.
",GERANIACEAE,Round-leaved crane's bill (Eng.),  
802,"
Geranium wallichianum D.Don ex Sweet
",GERANIACEAE,Laljhari (U.P. & Punjab),  
803,"
Gerbera piloselloides (L.) Cass.
",ASTERACEAE,Hawkweed Gerbera Daisy (Eng.),  
804,"
Geum elatum Wall. ex. G.Don
",ROSACEAE,Gogjemul (Kash.),  
805,"
Girardinia diversifolia (Link.) Friis
",URTICACEAE,Allo Sisnu (Nepali),  
806,"
Gironniera cuspidata (Blume) Planch. ex Kurz
",ULMACEAE,Koditani (Tam.),  
807,"
Gisekia pharmaceoides L.
",FICOIDEAE,Balu-ka-sag,  
808,"
Gleditsia triacanthos L.
",CAESALPINIACEAE,Common Honeylocust (Eng.),  
809,"
Glinus lotoides L.
",FICOIDEAE,Gandibudi,  
810,"
Glinus oppositifolius (L.) A.DC.
",FICOIDEAE,Jima,  
811,"
Glochidion hohenackeri Bedd.
",EUPHORBIACEAE,Bhoma (Mar.),  
812,"
Glochidion zeylanicum (Gaertn.) A.Juss.
",EUPHORBIACEAE,Itepulla (Tel.),  
813,"
Gloriosa superba L.
",LILIACEAE,"Karihari, Languli",  
814,"
Glossocardia bosvallia (L.f.) DC.
",ASTERACEAE,Seri,  
815,"
Glossogyne bidens (Retz.) Alston
",ASTERACEAE,Pardeshibhangro (Guj.),  
816,"
Glycine max (L.) Merr.
",FABACEAE,"Bhat, Bhatwar",  
817,"
Glycirrhiza glabra L.
",FABACEAE,"Mulhatti, Jethi-madh",  
818,"
Glycosmis arborea (Roxb.) DC.
",RUTACEAE,Ban-nimbu,  
819,"
Gmelina arborea Roxb.
",VERBENACEAE,"Gambhar, Gumhar",  
820,"
Gmelina asiatica L.
",VERBENACEAE,"Badhara, Nag-phul",  
821,"
Gnaphalium luteo-album L.
",ASTERACEAE,Bal raksha (Punjab),  
822,"
Gnidia glauca (Fresen.) Gilg.
",THYMELAEACEAE,Nacchinar (Tam.),  
823,"
Gordonia obtusa Wall. ex Wight & Arn.
",THEACEAE,Nagetta (Kan.),  
824,"
Gossypium arboreum L.
",MALVACEAE,"Kapas, Rui",  
825,"
Gossypium herbaceum L.
",MALVACEAE,Levant Cotton (Eng.),  
826,"
Gouania leptostachya DC.
",RHAMNACEAE,Khanta (Oriya),  
827,"
Grewia hirsuta Vahl
",TILIACEAE,"Kakarundah, Kukurbicha",  
828,"
Grewia sclerophylla Roxb. ex G.Don
",TILIACEAE,Pharsia,  
829,"
Grewia subinaequalis DC.
",TILIACEAE,"Phalsa, Dhamin",  
830,"
Grewia tenax (Forsk.) Fiori
",TILIACEAE,Achchu (Tam.),  
831,"
Grewia tiliifolia Vahl
",TILIACEAE,"Dhamni, Pharsa",  
832,"
Grewia villosa Willd
",TILIACEAE,Padekhado (Guj.),  
833,"
Guaiacum officinale L.
",ZYGOPHYLLACEAE,Lignum Vitae (Eng.),  
834,"
Guazuma ulmifolia Lam.
",STERCULIACEAE,Nipaltunth (Beng.),  
835,"
Guettarda speciosa L.
",RUBIACEAE,Panniru chettu (Tel.),  
836,"
Gymnema sylvestre (Retz.) Schult.
",ASCLEPIADACEAE,"Gur-mar, Merasingi",  
837,"
Gymnopetalum cochinchinensis (Lour.) Kurz
",CUCURBITACEAE,Kaubutkila (Bihar),  
838,"
Gymnostachyum febrifugum Benth.
",ACANTHACEAE,Nelamuchchala (Kan.),  
839,"
Gynocardia odorata R.Br.
",FLACOURTIACEAE,Lemtem (Assam),  
840,"
Habenaria commelinifolia (Roxb.) Wall. ex Lindl.
",ORCHIDACEAE,"Ankara, Devsunda (Local names)",  
841,"
Haematoxylum campechianum L.
",MIMOSACEAE,Patang,  
842,"
Haldina cordifolia (Rioxb.) Ridsdale
",RUBIACEAE,Haldu,  
843,"
Haloxylon griffithii DC.
",AMARANTHACEAE,Taghaz,  
844,"
Haloxylon recurvum (Moq.) Bunge ex. Boiss.
",CHENOPODIACEAE,Saxaul (Eng.),  
845,"
Haloxylon salicornicum(Moq.) Bunge ex. Boiss.
",CHENOPODIACEAE,Rimth Saltbush (Eng.),  
846,"
Haplanthus tentaculatus Nees
",ACANTHACEAE,Nila Jakara (Mar.),  
847,"
Haplanthus vericillatus Nees
",ACANTHACEAE,Kastula,  
848,"
Harpullia arborea (Blanco) Radlk.
",SAPINDACEAE,Nei-kottei (Tam.),  
849,"
Hedychium coronarium Koenig. ex Retz.
",ZINGIBERACEAE,Common Ginger Lily (Eng.),  
850,"
Hedyotis scandens Roxb. ex D.Don
",RUBIACEAE,Bhedeli (Assam),  
851,"
Hedyotis umbellata (L.) Lam.
",RUBIACEAE,Chirval,  
852,"
Hedyotis verticillata (L.) Lam.
",RUBIACEAE,Ronder (Local name),  
853,"
Helianthus annuus L.
",ASTERACEAE,Surajmukhi,  
854,"
Helianthus tuberosus L.
",ASTERACEAE,Hatichuk,  
855,"
Helicteres isora L.
",STERCULIACEAE,"Maroraphali, Marodaphali",  
856,"
Heliotropium bacciferum Forsk.
",BORAGINACEAE,Jatimisak (Punjab),  
857,"
Heliotropium curassavicum L.
",BORAGINACEAE,Salt heliotrope (Eng.),  
858,"
Heliotropium ellipticum Ledeb.
",BORAGINACEAE,Bithua (Punjab),  
859,"
Heliotropium indicum L.
",BORAGINACEAE,"Hatta-juri, Hatta-sura",  
860,"
Heliotropium ovalifolium Forsk.
",BORAGINACEAE,Nag-phuli,  
861,"
Heliotropium strigosum Willd.
",BORAGINACEAE,Chitiphul,  
862,"
Hemerocallis fulva L.
",LILIACEAE,Tawny Day-Lily (Eng.),  
863,"
Hemidesmus indicus (L.) R.Br.
",ASCLEPIADACEAE,"Anantamul, Kapuri",  
864,"
Heracleum lanatum Michx.
",APIACEAE,Chhataya,  
865,"
Heritiera littoralis L.
",STERCULIACEAE,Mukuram (Mal.),  
866,"
Herniaria glabra L.
",ILLECEBRACEAE,Smooth Rupturewort (Eng.),  
867,"
Herniaria hirsuta L.
",ILLECEBRACEAE,Hairy Rupturedwort (Eng.),  
868,"
Heterophragma quadriloculare (Roxb.) Schum.
",BIGNONIACEAE,"Warras, Pullung",  
869,"
Heteropogon contortus (L.) P.Beauv. ex Roem. & Schult.
",POACEAE,"Kher, Kumeria",  
870,"
Hibiscus cannabinus L.
",MALVACEAE,"Ambari, Patsan",  
871,"
Hibiscus furcatus Willd.
",MALVACEAE,"Adavi gogu, Konda gogu (Tel.)",  
872,"
Hibiscus mutabilis L.
",MALVACEAE,"Shalapara, Sthal kamal",  
873,"
Hibiscus ovalifolius (Forsk.) Vahl
",MALVACEAE,Tiny Flower Hibiscus (Eng.),  
874,"
Hibiscus rosa-sinensis L.
",MALVACEAE,"Jasut, Jasum",  
875,"
Hibiscus sabdariffa L.
",MALVACEAE,"Lal-ambari, Patwa",  
876,"
Hibiscus surattensis L.
",MALVACEAE,Mullu gogu (Tel.),  
877,"
Hibiscus syriacus L.
",MALVACEAE,Swet jaba (Beng.),  
878,"
Hibiscus tiliaceus L.
",MALVACEAE,"Bola, Chelwa",  
879,"
Hibiscus trionum L.
",MALVACEAE,Trailing Holyhock (Eng.),  
880,"
Hieracium vulgatum Fr.
",ASTERACEAE,Yellow Hackwood (Eng.),  
881,"
Hierochloe laxa R.Br.
",POACEAE,Lax sweet grass (Eng.),  
882,"
Hippohae tibetana Schlecht.
",ELAEAGNACEAE,Tsermang (Ladakhi),  
883,"
Hiptage benghalensis (L.) Kurz
",MALPIGHIACEAE,"Madhavilata, Madhmalti",  
884,"
Holarrhena antudysentrica (Roth) DC.
",APOCYNACEAE,"Kurchi, Karchi",  
885,"
Holarrhena antudysentrica Wall.
",APOCYNACEAE,"Kurchi, Karchi",  
886,"
Holarrhena mitis R.Br.
",APOCYNACEAE,Kiri-mawara (Tam.),  
887,"
Holigrana arnottiana Hook.f.
",ANACARDIACEAE,Chera (Mal.),  
888,"
Holigrana longifolia Buch.-Ham. ex Roxb.
",ANACARDIACEAE,Kherai (Manipur),  
889,"
Holoptelea integrifolia (Roxb.) Planch
",ULMACEAE,"Chilbil, Papari",  
890,"
Holostemma ada-kodien Schult.
",ASCLEPIADACEAE,Arkapushpi,  
891,"
Holostemma rheedii Wall.
",ASCLEPIADACEAE,Chhirvel,  
892,"
Holosteum umbellatum L.
",CARYOPHYLLACEAE,Jagged Chickweed (Eng.),  
893,"
Homalomena aromatica Schott
",ARACEAE,Kuchu gundubi (Beng.),  
894,"
Homonoia riperia Lour.
",EUPHORBIACEAE,Pashanabhedaka (Sans.),  
895,"
Hopea odorata Roxb.
",DIPTEROCARPACEAE,Urappuppicin (Tam.),  
896,"
Hoppea dichotoma Hayne ex Willd.
",GENTIANACEAE,Ram jeeta,  
897,"
Hordeum vulgare L.
",POACEAE,"Jau, Jav",  
898,"
Horsfieldia irya (Gaertn.) Warb.
",MYRISTICACEAE,"Chooglum, Mutwinda (Andamans)",  
899,"
Horsfieldia kingii (Hook.f.) Warb.
",MYRISTICACEAE,Amol (Assam),  
900,"
Houttuynia cordata Thunb.
",SAURURACEAE,"Alimoli, Hellijhar (Local names)",  
901,"
Hovenia acerba Lindl.
",RHAMNACEAE,Sicka,  
902,"
Hugonia mystax L.
",LINACEAE,Chulijinka (Oriya),  
903,"
Humboldtia vahliana Wight
",CAESALPINIACEAE,Arruvanci (Tam.),  
904,"
Hura crepitans L.
",EUPHORBIACEAE,Simaburuga (Tel.),  
905,"
Hybanthus enneaspermus (L.) F.Muell.
",VIOLACEAE,Ratanpurus,  
906,"
Hydnocarpus kurzii (King) Warb.
",FLACOURTIACEAE,Dalmurgi,  
907,"
Hydnocarpus pentandra (Buch.-Ham.) Oken
",FLACOURTIACEAE,Chaulmoogra (Hindi),  
908,"
Hydrangea aspera Buch.-Ham ex. D.Don
",SAXIFRAGACEAE,Phirphire ghans (Nepali),  
909,"
Hydrangea macrophylla (Thunb.) Ser.
",SAXIFRAGACEAE,Thamapansapi lei (Manipuri),  
910,"
Hydrocharis dubia (Blume) Backer
",HYDROCHARITACEAE,Frogbit (Eng.),  
911,"
Hydrocotyl javanica Thunb.
",APIACEAE,Mahagotukola,  
912,"
Hydrocotyl sibthorpioides Lam.
",APIACEAE,Kulkhuri,  
913,"
Hydrolea zeylanica Vahl
",HYDROPHYLLACEAE,Langali (Sans.),  
914,"
Hygrophila auriculata (K. Schum.) Heine
",ACANTHACEAE,"Talmakhana, Kulaka",  
915,"
Hygrophila salicifolia (Vahl) Nees
",ACANTHACEAE,Matham arak (Bihar),  
916,"
Hygroryza aristata (Retz.) Nees ex Wight & Arn.
",POACEAE,Janglidal,  
917,"
Hymenodictyon orixense (Roxb.) Mabberley
",RUBIACEAE,"Bhaulan, Kukurkat",  
918,"
Hyoscyamus niger L.
",SOLANACEAE,Khurasaniajvayan (Hindi),  
919,"
Hypericum laxum (Blume) Koidzumi
",HYPERICACEAE,Pikari-char (Local name),  
920,"
Hypericum perforatum L.
",HYPERICACEAE,"Bassant, Dendhu",  
921,"
Hypericum uralum Buch.- Ham. ex D.Don
",HYPERICACEAE,Tumbhul (Bihar),  
922,"
Hypoxis aurea Lour.
",AMARYLLIDACEAE,"Bhuin khajur, Dinda kinda (Bihar)",  
923,"
Hyptis capitata Jacq.
",LAMIACEAE,False Ironwort (Eng.),  
924,"
Hyptis suaveolens (L.) Poit.
",LAMIACEAE,Wilayati Tulsi,  
925,"
Hyssopus officinalis Lam.
",LAMIACEAE,Hyssop (Eng.),  
926,"
Iberis amara L.
",BRASSICACEAE,Rocket candytuft (Eng.),  
927,"
Ichnocarpus frutescens R.Br.
",APOCYNACEAE,"Kalidudhi, Siamalata",  
928,"
Ilex paraguariensis A.St.-Hil.
",AQUIFOLIACEAE,Mate (Eng.),  
929,"
Impatiens balsamina L.
",BALSAMINACEAE,Gul-mendhi,  
930,"
Impatiens chinensis L.
",BALSAMINACEAE,Vashtla (Tam.),  
931,"
Impatiens tripetala Roxb. ex DC.
",BALSAMINACEAE,Karya bijal (Lakhimpur),  
932,"
Indigofera aspalathoides Vahl ex DC.
",FABACEAE,Ratakohomba (Sans.),  
933,"
Indigofera astragalina DC.
",FABACEAE,Andhi-neel,  
934,"
Indigofera cassioides Rottl. ex DC.
",FABACEAE,"Pharsi ghas, Hakanu",  
935,"
Indigofera coerulea Roxb.
",FABACEAE,Gujarat Indigo (Eng.),  
936,"
Indigofera glabra L.
",FABACEAE,Pukhintaku (Local name),  
937,"
Indigofera glandulosa Willd.
",FABACEAE,Vekhariyo (Guj.),  
938,"
Indigofera linifolia (L.f.) Retz.
",FABACEAE,Torki,  
939,"
Indigofera linnaei Ali
",FABACEAE,Pandarphali,  
940,"
Indigofera oblongifolia Forsk.
",FABACEAE,Jhillan (Sans.),  
941,"
Indigofera suffruticosa Mill.
",FABACEAE,Vilaiti Nil,  
