#,Name of the Plant,Family,Common Name,Herbarium Image and Uses
169,"
Artemisia roxburghiana Wall. ex. Besser
",ASTERACEAE,Roxburgh's Wormwood (Eng.),  
170,"
Artemisia sacrorum Ledeb.
",ASTERACEAE,Burmack (Ladakh),  
171,"
Artemisia scoparia Waldst. & Kit.
",ASTERACEAE,"Seeta-bani, Jhau",  
172,"
Artemisia sivarsiana Ehrh. Ex. Willd.
",ASTERACEAE,Kaadu davana (Kan.),  
173,"
Arthrocnemum indicum (Willd.) Moq.
",CHENOPODIACEAE,Machola,  
174,"
Artocarpus heterophyllus Lam.
",MORACEAE,Kathal,  
175,"
Artocarpus lakoocha Roxb.
",MORACEAE,Barhal,  
176,"
Arundo donax L.
",POACEAE,Bara nal,  
177,"
Asclepias curassavica L.
",ASCLEPIADACEAE,"Kakatundi, Kakanasika",  
178,"
Asparagus adscendens Roxb.
",LILIACEAE,Satavar,  
179,"
Asparagus filicinus Buch.-Ham ex D. Don
",LILIACEAE,Allipalli (Punj.),  
180,"
Asparagus gonocladus Baker
",LILIACEAE,Sadaveri (Local name),  
181,"
Asparagus officinalis L.
",LILIACEAE,"Marchuba, Paragus, Vilayati Karua, Nakdown, Margiyeh, Halyun",  
182,"
Asparagus racemosus Willd.
",LILIACEAE,"Satawar, Satmuli (Beng.)",  
183,"
Asplenium adiantum-nigrum L.
",ASPLENIACEAE,Black Spleenwort (Eng.),  
184,"
Astragalus strobiliferus Royle ex Benth.
",FABACEAE,Garmezu (Chitral),  
185,"
Astragalus tribuloides Delile
",FABACEAE,Ogai (Punjab),  
186,"
Asystasia gangetica (L.) T.Anderson
",ACANTHACEAE,Lavana-valli (Sans.),  
187,"
Atriplex hortensis L.
",CHENOPODIACEAE,"Korake, Surake",  
188,"
Atropa acuminata Royle
",SOLANACEAE,Indian Atropa (Eng.),  
189,"
Atropa belladona L.
",SOLANACEAE,Angur Shefa,  
190,"
Atylosia scrabaeoides (L.) Benth.
",FABACEAE,"Bnkulthi, Birghore (Local names)",  
191,"
Avena fatua L.
",POACEAE,Common wild oat (Eng.),  
192,"
Avena sativa L.
",POACEAE,Common Oat (Eng.),  
193,"
Averrhoa bilimbi L.
",OXALIDACEAE,Tree Sorrel (Eng.),  
194,"
Avicennia officinalis L.
",VERBENACEAE,Bina,  
195,"
Azadirachta indica (L.) A.Juss.
",MELIACEAE,Nim,  
196,"
Azanza lampas (Cav.) Alef.
",MALVACEAE,"Jangli bhendi, Bankapasi",  
197,"
Azima tetracantha Lam.
",SALVADORACEAE,Kantagur-kamai,  
198,"
Bacopa monnieri (L.) Pennell
",SCROPHULARIACEAE,Nira-brahmi,  
199,"
Balanites aegyptiaca (L.) Delile
",BALANITACEAE,"Hingan, Hingot",  
200,"
Baliospermum montanum (Willd.) Muell.Arg.
",EUPHORBIACEAE,Danti,  
201,"
Bambusa bambos Druce
",POACEAE,Kalak (Local name),  
202,"
Barleria buxifolia L.
",ACANTHACEAE,Liksura (Sans.),  
203,"
Barleria courtallica Nees
",ACANTHACEAE,Chethasahacharam (Sans.),  
204,"
Barleria cristata L.
",ACANTHACEAE,Nil jhinti,  
205,"
Barleria longiflora L.f.
",ACANTHACEAE,Ekakantaka (Sans.),  
206,"
Barleria noctiflora L.f.
",ACANTHACEAE,Naga gorinta (Telugu),  
207,"
Barleria prionitis L.
",ACANTHACEAE,"Jhinti, Katsareya",  
208,"
Barleria strigosa Willd.
",ACANTHACEAE,Neelakurantak (Sans.),  
209,"
Barringtonia acutangula (L.) Gaertn.
",LECYTHIDACEAE,Hijjal,  
210,"
Barringtonia racemosa (L.) Roxb.
",LECYTHIDACEAE,Samudraphala (Sans.),  
211,"
Basella rubra L.
",BASELLACEAE,"Poi, Safedbachla",  
212,"
Bauhinia malabarica Roxb.
",CAESALPINIACEAE,"Amli, Amlosa",  
213,"
Bauhinia purpurea L.
",CAESALPINIACEAE,Khairwal,  
214,"
Bauhinia racemosa Lam.
",CAESALPINIACEAE,"Kachnal, Ashta",  
215,"
Bauhinia retusa Ham. ex. DC.
",CAESALPINIACEAE,Semla,  
216,"
Bauhinia vahlii Wight & Arn.
",CAESALPINIACEAE,Maljan,  
217,"
Bauhinia variegata L.
",CAESALPINIACEAE,Kachnar,  
218,"
Begonia rex Putz.
",BEGONIACEAE,King Begonia (Eng.),  
219,"
Benincasa hispida (Thunb.) Cogn.
",CUCURBITACEAE,Petha,  
220,"
Berberis aristata DC.
",BERBERIDACEAE,"Chitra, Daruhald",  
221,"
Berberis asiatica Roxb. ex. DC.
",BERBERIDACEAE,Kilmora (Kumaun),  
222,"
Berberis insignis Hook.f. & Thomson
",BERBERIDACEAE,Kasmal (Simla),  
223,"
Berberis lycium Royle
",BERBERIDACEAE,Kasmal (Simla),  
224,"
Berchemia lineata DC.
",RHAMNACEAE,Kameti (Kumaun),  
225,"
Bergia suffriticosa (Del.) Fenzl.
",ELATINACEAE,Gangharaw (Guj.),  
226,"
Beta vulgaris L.
",CHENOPODIACEAE,Chukandar,  
227,"
Betula alnoides Buch.-Ham.ex D.Don
",BETULACEAE,Bhojpatra,  
228,"
Betula utilis D.Don
",BETULACEAE,Bhojpatra,  
229,"
Bidens tripartita L.
",ASTERACEAE,Threelobe Beggar Tick (Eng.),  
230,"
Biophytum sensitivum (L.) DC.
",OXALIDACEAE,Lajalu,  
231,"
Bischofia javanica Blume
",EUPHORBIACEAE,Paniala,  
232,"
Bixa orellana L.
",BIXACEAE,Latkan,  
233,"
Blechnum orientale L.
",BLECHNACEAE,Haththazori,  
234,"
Blepharis edulis Pers.
",ACANTHACEAE,Chaupatia,  
235,"
Blepharis indica Stocks ex T.Anderson
",ACANTHACEAE,Kolimukkan chedi (Tamil),  
236,"
Blighia sapida Koen. & Sims.
",SAPINDACEAE,Akee (Eng.),  
237,"
Blumea balsamifera (L.) DC.
",ASTERACEAE,Kakaronda,  
238,"
Blumea densiflora (Wall.) DC.
",ASTERACEAE,Grand Blumea (Eng.),  
239,"
Blumea eriantha DC.
",ASTERACEAE,Nimurdi (Mar.),  
240,"
Blumea lacera (Burm.f.) DC.
",ASTERACEAE,Kakranda,  
241,"
Blumea lanceolaria (Roxb.) Druce
",ASTERACEAE,Tera paibi macha (Manipuri),  
242,"
Boehmeria nivea (L.) Gaud.
",URTICACEAE,Kankura (Beng.),  
243,"
Boerhavia diffusa L.
",NYCTAGINACEAE,Sant,  
244,"
Bombax ceiba L.
",BOMBACACEAE,"Semal, Semul (Beng.)",  
245,"
Borassus flabellifer L.
",ARECACEAE,Tar,  
246,"
Borreria articularis (L.f.) F.N.Wiliams
",RUBIACEAE,"Guthari, Madanaghanta (Sans.)",  
247,"
Boswellia serrata Roxb. ex Coleb.
",BURSERACEAE,Salai,  
248,"
Botrychium lunaria (L.) Sw.
",OPHIOGLOSSACEAE,Moonwort (Eng.),  
249,"
Botrychium virginianum (L.) Sw.
",OPHIOGLOSSACEAE,Rattle snake fern (Eng.),  
250,"
Brassica juncea (L.) Czern.
",BRASSICACEAE,"Asal rai, Laha",  
251,"
Brassica nigra L.
",BRASSICACEAE,Banarasi rai,  
252,"
Breynia retusa (Dennst.) Alston
",EUPHORBIACEAE,Chitki (Beng.),  
253,"
Breynia retusa (L.) Spreng.
",EUPHORBIACEAE,Chitki (Beng.),  
254,"
Breynia rhamnoides (Retz.) Muell.-Arg.
",EUPHORBIACEAE,Tikhar,  
255,"
Bridelia montana Willd.
",EUPHORBIACEAE,"Khaja, Gondui",  
256,"
Bromus mollis L.
",POACEAE,Soft brome (Eng.),  
257,"
Brucea javanica (L.) Merr.
",SIMAROUBACEAE,Chinese Sumac (Eng.),  
